price,lat,long,Bathroom,Bedroom,sqft,land
65000000,6.9168909,79.9685515,4,5,3600.0 sqft,10.0 perches
23000000,6.7999509,79.9231171,1,2,1400.0 sqft,8.0 perches
35000000,6.9326254,79.8903143,4,4,2200.0 sqft,6.0 perches
45000000,6.8512785,79.8659769,5,5,2500.0 sqft,4.96 perches
26000000,6.8750045,79.9008331,3,4,2600.0 sqft,9.5 perches
21000000,6.9326254,79.8903143,3,4,1400.0 sqft,4.0 perches
39000000,6.8472783,79.9266082,4,4,3800.0 sqft,8.0 perches
16000000,6.8699688,79.8882835,3,3,1200.0 sqft,3.7 perches
68000000,6.8952109,79.8905528,4,5,2600.0 sqft,9.0 perches
220000000,6.9021809,79.9195776,4,5,4000.0 sqft,60.0 perches
400000000,6.8699688,79.8882835,5,5,5000.0 sqft,26.5 perches
180000000,6.8813284,79.9537507,4,4,3100.0 sqft,62.0 perches
140000000,6.8720787,79.8906944,5,5,4000.0 sqft,40.28 perches
10000000,6.9522325,80.2125947,1,3,1000.0 sqft,15.0 perches
110000000,6.8670544,79.8847353,4,3,3500.0 sqft,12.0 perches
70000000,6.8512785,79.8659769,5,6,3000.0 sqft,4.3 perches
270000000,6.9095041,79.8962176,7,5,6000.0 sqft,10.0 perches
33000000,6.8430139,79.9655312,3,4,2800.0 sqft,11.3 perches
41000000,6.9021809,79.9195776,3,4,2955.0 sqft,10.0 perches
59000000,6.9040723,79.9546189,4,5,4200.0 sqft,8.7 perches
185000000,6.8670544,79.8847353,4,6,4000.0 sqft,14.0 perches
33000000,6.8430139,79.9655312,3,4,3594.0 sqft,13.2 perches
55000000,6.9040723,79.9546189,4,4,4500.0 sqft,7.5 perches
156000000,6.8699688,79.8882835,3,4,3000.0 sqft,26.0 perches
38500000,6.8772464,79.9899292,3,4,2000.0 sqft,8.0 perches
22000000,6.7999509,79.9231171,2,3,1648.0 sqft,8.5 perches
38500000,6.8840744,79.9020482,3,4,2283.0 sqft,8.0 perches
260000000,6.9021809,79.9195776,5,5,4000.0 sqft,20.0 perches
47000000,6.9040723,79.9546189,3,5,4000.0 sqft,9.0 perches
13500000,6.8800103,80.017797,2,2,1500.0 sqft,12.0 perches
61500000,6.7999509,79.9231171,4,4,6000.0 sqft,17.5 perches
39500000,6.9040723,79.9546189,4,4,2800.0 sqft,8.5 perches
240000000,6.8699688,79.8882835,4,4,5200.0 sqft,40.0 perches
48000000,6.9040723,79.9546189,2,4,1350.0 sqft,6.5 perches
75000000,6.9021809,79.9195776,5,5,2874.0 sqft,11.0 perches
45000000,6.8699688,79.8882835,3,4,1975.0 sqft,3.85 perches
84000000,6.8512785,79.8659769,2,4,3000.0 sqft,20.0 perches
150000000,6.9095041,79.8962176,4,4,3000.0 sqft,28.5 perches
45000000,6.7999509,79.9231171,3,4,3500.0 sqft,20.0 perches
270000000,6.9388614,79.8542005,4,5,4900.0 sqft,21.0 perches
160000000,6.9021809,79.9195776,4,4,4900.0 sqft,29.0 perches
96000000,6.8512785,79.8659769,3,4,3000.0 sqft,12.4 perches
31500000,6.8464397,79.9486254,2,4,2250.0 sqft,6.5 perches
